symbol,1.0.0,1.2.0,1.3.0,1.4.0
_ZN9ChipGroup8movementEv,0x00344368,0x00346938,0x00346718,0x00346938
_ZN9ChipGroupC1EPKcl,0x003445C4,0x00346B94,0x00346974,0x00347934
_ZN9ChipGroupC2EPKcl,0x003445C4,0x00346B94,0x00346974,0x00347934
_ZN9ChipGroupD1Ev,0x00344650,0x00346C20,0x00346A00,0x003479C0
_ZN8ChipBaseC1EPKclS1_,0x003446D8,0x00346CA8,0x00346A88,0x00347A48
_ZN8ChipBaseC2EPKclS1_,0x003446D8,0x00346CA8,0x00346A88,0x00347A48
_ZN8ChipBase4initERK12JMapInfoIter,0x00344738,0x00346D08,0x00346AE8,0x00347AA8
_ZN8ChipBase13initJMapParamERK12JMapInfoIter,0x003448CC,0x00346E9C,0x00346C7C,0x00347C3C
_ZN8ChipBase9initModelERK12JMapInfoIter,0x00344968,0x00346F38,0x00346D18,0x00347CD8
_ZN8ChipBase10initShadowERK12JMapInfoIter,0x00344A18,0x00346FE8,0x00346DC8,0x00347D88
_ZN8ChipBase18initAfterPlacementEv,0x00344B74,0x00347144,0x00346F24,0x00347EE4
_ZN8ChipBase8deactiveEv,0x00344BB0,0x00347180,0x00346F60,0x00347F20
_ZN8ChipBase10setGroupIDEl,0x00344BE4,0x003471B4,0x00346F94,0x00347F54
_ZN8ChipBase7setHostEP9LiveActor,0x00344BEC,0x003471BC,0x00346F9C,0x00347F5C
_ZN8ChipBase17makeActorAppearedEv,0x00344BF4,0x003471C4,0x00346FA4,0x00347F64
_ZN8ChipBase13makeActorDeadEv,0x00344C58,0x00347228,0x00347008,0x00347FC8
_ZN8ChipBase7controlEv,0x00344C8C,0x0034725C,0x0034703C,0x00347FFC
_ZN8ChipBase10appearWaitEv,0x00344CF8,0x003472C8,0x003470A8,0x00348068
_ZN8ChipBase14appearFlashingEl,0x00344D6C,0x0034733C,0x0034711C,0x003480DC
_ZN8ChipBase15receiveOtherMsgEjP9HitSensorS1_,0x00344DF0,0x003473C0,0x003471A0,0x00348160
_ZN8ChipBase10requestGetEP9HitSensorS1_,0x00344F80,0x00347550,0x00347330,0x003482F0
_ZNK8ChipBase10isGettableEv,0x00345054,0x00347640,0x00347420,0x003483E0
_ZN8ChipBaseD1Ev,0x0034547C,0x00347A68,0x00347848,0x00348808
_ZN15MorphItemObjNeoC1EPKc,0x0035CB80,0x0035F170,0x0035EF50,0x0035FF10
_ZN15MorphItemObjNeoC2EPKc,0x0035CB80,0x0035F170,0x0035EF50,0x0035FF10
_ZN15MorphItemObjNeo4initERK12JMapInfoIter,0x0035CBDC,0x0035F1CC,0x0035EFAC,0x0035FF6C
_ZN15MorphItemObjNeo18initAfterPlacementEv,0x0035D150,0x0035F740,0x0035F520,0x003604E0
_ZN15MorphItemObjNeo17makeActorAppearedEv,0x0035D16C,0x0035F75C,0x0035F53C,0x003604FC
_ZN15MorphItemObjNeo13makeActorDeadEv,0x0035D1A8,0x0035F798,0x0035F578,0x00360538
_ZN15MorphItemObjNeo6appearEv,0x0035D1DC,0x0035F7CC,0x0035F5AC,0x0036056C
_ZN15MorphItemObjNeo4killEv,0x0035D2BC,0x0035F8AC,0x0035F68C,0x0036064C
